"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-01","2018","01","01","†","-8.0","","-18.0","","-13.0","","31.0","","0.0","","0.0","","1.0","","0.4","","21","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-02","2018","01","02","†","-6.0","","-14.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-03","2018","01","03","†","-6.0","","-13.0","","-9.5","","27.5","","0.0","","0.0","","0.2","","0.2","","22","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-04","2018","01","04","†","-9.5","","-13.0","","-11.3","","29.3","","0.0","","0.0","","0.0","T","0.0","","22","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-05","2018","01","05","†","-14.0","","-23.0","","-18.5","","36.5","","0.0","","0.0","","0.0","T","0.0","","22","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-06","2018","01","06","†","-14.0","","-23.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-07","2018","01","07","†","-0.5","","-22.5","","-11.5","","29.5","","0.0","","0.0","","4.0","","8.0","","22","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-08","2018","01","08","†","2.5","","-14.0","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-09","2018","01","09","†","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-10","2018","01","10","†","9.0","","-6.5","","1.3","","16.7","","0.0","","2.5","","0.0","","2.5","","18","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-11","2018","01","11","†","13.0","","-3.0","","5.0","","13.0","","0.0","","16.0","","0.0","","16.0","","2","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-12","2018","01","12","†","7.5","","8.0","","7.8","","10.2","","0.0","","6.0","","2.0","","8.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-13","2018","01","13","†","-9.0","","-13.0","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-14","2018","01","14","†","-4.5","","-17.0","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-15","2018","01","15","†","-5.0","","-11.5","","-8.3","","26.3","","0.0","","0.0","","7.0","","7.0","","2","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-16","2018","01","16","†","-3.0","","-10.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-17","2018","01","17","†","-4.0","","-13.0","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-18","2018","01","18","†","-3.0","","-11.5","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-19","2018","01","19","†","2.0","","-7.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-20","2018","01","20","†","7.0","","-3.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-21","2018","01","21","†","5.0","","-3.0","","1.0","","17.0","","0.0","","7.3","","0.0","","7.3","","2","","","","",""
"-79.69","43.51","OAKVILLE TWN","6155750","2018-01-22","2018","01","22","†","4.5","","1.0","","2.8","","15.2","","0.0","","17.0","","0.0","","17.0","","0","","","","",""
