Date,Temperature,,,
2016-01-01,-3.4325,,,
2016-01-02,-2.665,,,
2016-01-03,-2.1775,,,
2016-01-04,-14.0825,,,
2016-01-05,-11.2875,,,
2016-01-06,-5.9925,,,
2016-01-07,-4.07,,,
2016-01-08,-1.2175,,,
2016-01-09,2.7775,,,
2016-01-10,2.005,,,
2016-01-11,-7.49,,,
2016-01-12,-6.1825,,,
2016-01-13,-9.1675,,,
2016-01-14,-6.9625,,,
2016-01-15,-0.3775,,,
2016-01-16,-0.6725,,,
2016-01-17,-6.15,,,
2016-01-18,-9.81,,,
2016-01-19,-9.435,,,
2016-01-20,-6.15,,,
2016-01-21,-8.175,,,
2016-01-22,-8.8225,,,
2016-01-23,-10.42,,,
2016-01-24,-6.6625,,,
2016-01-25,-2.23,,,
2016-01-26,2.1525,,,
2016-01-27,-1.8275,,,
2016-01-28,-1.285,,,
2016-01-29,-5.82,,,
2016-01-30,-2.4475,,,
2016-01-31,3.8675,,,
2016-02-01,2.7575,,,
2016-02-02,-0.645,,,
2016-02-03,5.505,,,
2016-02-04,0.125,,,
2016-02-05,-2.09,,,
2016-02-06,-0.97,,,
2016-02-07,-0.3175,,,
2016-02-08,1.11,,,
2016-02-09,-0.685,,,
2016-02-10,-4.775,,,
2016-02-11,-12.7775,,,
2016-02-12,-8.975,,,
2016-02-13,-18.875,,,
2016-02-14,-19.1375,,,
2016-02-15,-8.765,,,
2016-02-16,-3.905,,,
2016-02-17,-5.6225,,,
2016-02-18,-12.335,,,
2016-02-19,-1.59,,,
2016-02-20,4.9325,,,
2016-02-21,0.9725,,,
2016-02-22,-3.6125,,,
2016-02-23,-2.3575,,,
2016-02-24,-0.9275,,,
2016-02-25,-1.3925,,,
2016-02-26,-9.1375,,,
2016-02-27,-2.6625,,,
2016-02-28,4.08,,,
2016-02-29,1.2575,,,
2016-03-01,-7.4875,,,
2016-03-02,-9.6725,,,
2016-03-03,-10.295,,,
2016-03-04,-7.545,,,
2016-03-05,-7.74,,,
2016-03-06,-6.5675,,,
2016-03-07,3.095,,,
2016-03-08,5.4775,,,
2016-03-09,13.4475,,,
2016-03-10,8.885,,,
2016-03-11,3.695,,,
2016-03-12,6.2975,,,
2016-03-13,5.0975,,,
2016-03-14,5.7125,,,
2016-03-15,7.275,,,
2016-03-16,4.525,,,
2016-03-17,5.225,,,
2016-03-18,1.1175,,,
2016-03-19,-2.725,,,
2016-03-20,-1.825,,,
2016-03-21,-0.965,,,
2016-03-22,0.3,,,
2016-03-23,1.6075,,,
2016-03-24,-1.075,,,
2016-03-25,-1.45,,,
2016-03-26,-0.7,,,
2016-03-27,2.8,,,
2016-03-28,5.65,,,
2016-03-29,1.08575,,,
2016-03-30,4.275,,,
2016-03-31,12.1325,,,
2016-04-01,7.275,,,
2016-04-02,0.7,,,
2016-04-03,-4.8225,,,
2016-04-04,-6.6,,,
2016-04-05,-7.475,,,
2016-04-06,-2.225,,,
2016-04-07,2.15,,,
2016-04-08,-2.25,,,
2016-04-09,-4.325,,,
2016-04-10,-3.6,,,
2016-04-11,4.775,,,
2016-04-12,0.775,,,
2016-04-13,0.6825,,,
2016-04-14,2.65,,,
2016-04-15,5.55,,,
2016-04-16,7.675,,,
2016-04-17,10.7,,,
2016-04-18,14.1,,,
2016-04-19,8.625,,,
2016-04-20,7.425,,,
2016-04-21,9.675,,,
2016-04-22,12.35,,,
2016-04-23,5.1,,,
2016-04-24,5.35,,,
2016-04-25,4.8,,,
2016-04-26,2.95,,,
2016-04-27,4.45,,,
2016-04-28,3.925,,,
2016-04-29,5.775,,,
2016-04-30,7.4,,,
2016-05-01,6.5,,,
2016-05-02,7.125,,,
2016-05-03,8.50775,,,
2016-05-04,8.925,,,
2016-05-05,10.275,,,
2016-05-06,12.595,,,
2016-05-07,11.7,,,
2016-05-08,7.675,,,
2016-05-09,6.5875,,,
2016-05-10,7.8275,,,
2016-05-11,10,,,
2016-05-12,12.675,,,
2016-05-13,14.725,,,
2016-05-14,8.275,,,
2016-05-15,3.1,,,
2016-05-16,7.225,,,
2016-05-17,8.625,,,
2016-05-18,8.8,,,
2016-05-19,11.8,,,
2016-05-20,13.775,,,
2016-05-21,14.55,,,
2016-05-22,13.225,,,
2016-05-23,16,,,
2016-05-24,18.325,,,
2016-05-25,20.3,,,
2016-05-26,19.5075,,,
2016-05-27,21.605,,,
2016-05-28,22.575,,,
2016-05-29,22.175,,,
2016-05-30,19.875,,,
2016-05-31,17.6,,,
2016-06-01,14.05,,,
2016-06-02,18.625,,,
2016-06-03,17.275,,,
2016-06-04,17.375,,,
2016-06-05,18.45,,,
2016-06-06,17.05,,,
2016-06-07,13.75,,,
2016-06-08,9.9,,,
2016-06-09,11.675,,,
2016-06-10,14.45,,,
2016-06-11,19.875,,,
2016-06-12,14.875,,,
2016-06-13,12.975,,,
2016-06-14,13.9,,,
2016-06-15,15.1,,,
2016-06-16,18.1,,,
2016-06-17,20.925,,,
2016-06-18,21.475,,,
2016-06-19,22.7,,,
2016-06-20,23.95,,,
2016-06-21,17.75,,,
2016-06-22,17,,,
2016-06-23,15.975,,,
2016-06-24,18.425,,,
2016-06-25,19.55,,,
2016-06-26,22.325,,,
2016-06-27,23.425,,,
2016-06-28,17.4,,,
2016-06-29,18.05,,,
2016-06-30,18.425,,,
2016-07-01,17.125,,,
2016-07-02,17.475,,,
2016-07-03,19.475,,,
2016-07-04,19.75,,,
2016-07-05,22,,,
2016-07-06,23.9,,,
2016-07-07,23.875,,,
2016-07-08,21.475,,,
2016-07-09,19.6,,,
2016-07-10,20.125,,,
2016-07-11,20.075,,,
2016-07-12,22.85,,,
2016-07-13,25.775,,,
2016-07-14,24.9,,,
2016-07-15,20.75,,,
2016-07-16,17.4,,,
2016-07-17,19.55,,,
2016-07-18,23.9,,,
2016-07-19,19.275,,,
2016-07-20,19.575,,,
2016-07-21,25.7,,,
2016-07-22,27.15,,,
2016-07-23,25.55,,,
2016-07-24,23.125,,,
2016-07-25,24.775,,,
2016-07-26,22.85,,,
2016-07-27,24.3,,,
2016-07-28,22.675,,,
2016-07-29,20.775,,,
2016-07-30,20.25,,,
2016-07-31,20.75,,,
2016-08-01,21.625,,,
2016-08-02,22.775,,,
2016-08-03,22.7,,,
2016-08-04,24.3,,,
2016-08-05,25.35,,,
2016-08-06,21.7,,,
2016-08-07,21.35,,,
2016-08-08,20.3,,,
2016-08-09,21.85,,,
2016-08-10,26.4475,,,
2016-08-11,26.275,,,
2016-08-12,27.05,,,
2016-08-13,24.925,,,
2016-08-14,22.725,,,
2016-08-15,21.2,,,
2016-08-16,21.15,,,
2016-08-17,20.1,,,
2016-08-18,21.8,,,
2016-08-19,22.8,,,
2016-08-20,24.05,,,
2016-08-21,21.275,,,
2016-08-22,16.8,,,
2016-08-23,19.85,,,
2016-08-24,21.9,,,
2016-08-25,24.125,,,
2016-08-26,22.275,,,
2016-08-27,20.3,,,
2016-08-28,22.425,,,
2016-08-29,19.35,,,
2016-08-30,21.425,,,
2016-08-31,21.575,,,
2016-09-01,17.075,,,
2016-09-02,15.75,,,
2016-09-03,15.7,,,
2016-09-04,16.525,,,
2016-09-05,18.975,,,
2016-09-06,23.05,,,
2016-09-07,25,,,
2016-09-08,24.425,,,
2016-09-09,22.175,,,
2016-09-10,21.925,,,
2016-09-11,17.225,,,
2016-09-12,15.925,,,
2016-09-13,19.2,,,
2016-09-14,16.77,,,
2016-09-15,12.5125,,,
2016-09-16,15.3025,,,
2016-09-17,19.4425,,,
2016-09-18,20.06,,,
2016-09-19,19.38,,,
2016-09-20,20.6,,,
2016-09-21,19.575,,,
2016-09-22,20.35,,,
2016-09-23,16,,,
2016-09-24,11.15,,,
2016-09-25,11.25,,,
2016-09-26,14.05,,,
2016-09-27,13.585,,,
2016-09-28,15.1725,,,
2016-09-29,14.4525,,,
2016-09-30,15.55,,,
2016-10-01,14.03,,,
2016-10-02,16.075,,,
2016-10-03,13.75,,,
2016-10-04,14.99,,,
2016-10-05,14.985,,,
2016-10-06,16.3925,,,
2016-10-07,16.03,,,
2016-10-08,13.57,,,
2016-10-09,8.2475,,,
2016-10-10,5.6225,,,
2016-10-11,8.5925,,,
2016-10-12,14.0925,,,
2016-10-13,11.435,,,
2016-10-14,7.6925,,,
2016-10-15,11.4775,,,
2016-10-16,17.15,,,
2016-10-17,16.435,,,
2016-10-18,19.3525,,,
2016-10-19,13.26,,,
2016-10-20,12.32,,,
2016-10-21,8.3025,,,
2016-10-22,4.5725,,,
2016-10-23,6.8175,,,
2016-10-24,6.525,,,
2016-10-25,3.2975,,,
2016-10-26,1.2,,,
2016-10-27,2.7425,,,
2016-10-28,2.755,,,
2016-10-29,12.055,,,
2016-10-30,7.2,,,
2016-10-31,3.6275,,,
2016-11-01,9.6875,,,
2016-11-02,13.7125,,,
2016-11-03,10.3775,,,
2016-11-04,5.4575,,,
2016-11-05,9.0425,,,
2016-11-06,7.645,,,
2016-11-07,8.345,,,
2016-11-08,9.955,,,
2016-11-09,6.1125,,,
2016-11-10,7.26,,,
2016-11-11,5.4275,,,
2016-11-12,2.5225,,,
2016-11-13,6.2925,,,
2016-11-14,6.905,,,
2016-11-15,5.735,,,
2016-11-16,7.66,,,
2016-11-17,6.135,,,
2016-11-18,9.67,,,
2016-11-19,7.7275,,,
2016-11-20,-0.3025,,,
2016-11-21,-1.9125,,,
2016-11-22,-2.2975,,,
2016-11-23,-2.8425,,,
2016-11-24,1.445,,,
2016-11-25,2.4725,,,
2016-11-26,2.9425,,,
2016-11-27,2.21,,,
2016-11-28,3.9075,,,
2016-11-29,8.82,,,
2016-11-30,8.7425,,,
2016-12-01,5.015,,,
2016-12-02,3.1725,,,
2016-12-03,2.2575,,,
2016-12-04,0.9125,,,
2016-12-05,1.04,,,
2016-12-06,0.6425,,,
2016-12-07,0.9,,,
2016-12-08,-1.6575,,,
2016-12-09,-4.05,,,
2016-12-10,-5.0025,,,
2016-12-11,-5.17,,,
2016-12-12,-1.17,,,
2016-12-13,-5.5525,,,
2016-12-14,-10.2975,,,
2016-12-15,-11.0175,,,
2016-12-16,-10.49,,,
2016-12-17,-3.765,,,
2016-12-18,-7.305,,,
2016-12-19,-14.4175,,,
2016-12-20,-8.2675,,,
2016-12-21,-2.61,,,
2016-12-22,-1.7875,,,
2016-12-23,-1.4175,,,
2016-12-24,0.9325,,,
2016-12-25,-1.8575,,,
2016-12-26,1.8025,,,
2016-12-27,0.4575,,,
2016-12-28,-2.21,,,
2016-12-29,-0.745,,,
2016-12-30,-3.435,,,
2016-12-31,-1.7175,,,
2017-01-01,-3.095,,,
2017-01-02,-1.6925,,,
2017-01-03,1.08,,,
2017-01-04,-2.675,,,
2017-01-05,-8.7975,,,
2017-01-06,-11.6975,,,
2017-01-07,-11.68,,,
2017-01-08,-11.665,,,
2017-01-09,-8.1125,,,
2017-01-10,-2.21,,,
2017-01-11,1.6225,,,
2017-01-12,1.76,,,
2017-01-13,-4.5575,,,
2017-01-14,-7.265,,,
2017-01-15,-4.985,,,
2017-01-16,-3.55,,,
2017-01-17,-0.4075,,,
2017-01-18,0.5625,,,
2017-01-19,0.565,,,
2017-01-20,-0.265,,,
2017-01-21,1.8775,,,
2017-01-22,3.0125,,,
