Date,Temperature(¡æ£©,,,
1/1/2016,-3.4325,,,
1/2/2016,-2.665,,,
1/3/2016,-2.1775,,,
1/4/2016,-14.0825,,,
1/5/2016,-11.2875,,,
1/6/2016,-5.9925,,,
1/7/2016,-4.07,,,
1/8/2016,-1.2175,,,
1/9/2016,2.7775,,,
1/10/2016,2.005,,,
1/11/2016,-7.49,,,
1/12/2016,-6.1825,,,
1/13/2016,-9.1675,,,
1/14/2016,-6.9625,,,
1/15/2016,-0.3775,,,
1/16/2016,-0.6725,,,
1/17/2016,-6.15,,,
1/18/2016,-9.81,,,
1/19/2016,-9.435,,,
1/20/2016,-6.15,,,
1/21/2016,-8.175,,,
1/22/2016,-8.8225,,,
1/23/2016,-10.42,,,
1/24/2016,-6.6625,,,
1/25/2016,-2.23,,,
1/26/2016,2.1525,,,
1/27/2016,-1.8275,,,
1/28/2016,-1.285,,,
1/29/2016,-5.82,,,
1/30/2016,-2.4475,,,
1/31/2016,3.8675,,,
2/1/2016,2.7575,,,
2/2/2016,-0.645,,,
2/3/2016,5.505,,,
2/4/2016,0.125,,,
2/5/2016,-2.09,,,
2/6/2016,-0.97,,,
2/7/2016,-0.3175,,,
2/8/2016,1.11,,,
2/9/2016,-0.685,,,
2/10/2016,-4.775,,,
2/11/2016,-12.7775,,,
2/12/2016,-8.975,,,
2/13/2016,-18.875,,,
2/14/2016,-19.1375,,,
2/15/2016,-8.765,,,
2/16/2016,-3.905,,,
2/17/2016,-5.6225,,,
2/18/2016,-12.335,,,
2/19/2016,-1.59,,,
2/20/2016,4.9325,,,
2/21/2016,0.9725,,,
2/22/2016,-3.6125,,,
2/23/2016,-2.3575,,,
2/24/2016,-0.9275,,,
2/25/2016,-1.3925,,,
2/26/2016,-9.1375,,,
2/27/2016,-2.6625,,,
2/28/2016,4.08,,,
2/29/2016,1.2575,,,
3/1/2016,-7.4875,,,
3/2/2016,-9.6725,,,
3/3/2016,-10.295,,,
3/4/2016,-7.545,,,
3/5/2016,-7.74,,,
3/6/2016,-6.5675,,,
3/7/2016,3.095,,,
3/8/2016,5.4775,,,
3/9/2016,13.4475,,,
3/10/2016,8.885,,,
3/11/2016,3.695,,,
3/12/2016,6.2975,,,
3/13/2016,5.0975,,,
3/14/2016,5.7125,,,
3/15/2016,7.275,,,
3/16/2016,4.525,,,
3/17/2016,5.225,,,
3/18/2016,1.1175,,,
3/19/2016,-2.725,,,
3/20/2016,-1.825,,,
3/21/2016,-0.965,,,
3/22/2016,0.3,,,
3/23/2016,1.6075,,,
3/24/2016,-1.075,,,
3/25/2016,-1.45,,,
3/26/2016,-0.7,,,
3/27/2016,2.8,,,
3/28/2016,5.65,,,
3/29/2016,1.08575,,,
3/30/2016,4.275,,,
3/31/2016,12.1325,,,
4/1/2016,7.275,,,
4/2/2016,0.7,,,
4/3/2016,-4.8225,,,
4/4/2016,-6.6,,,
4/5/2016,-7.475,,,
4/6/2016,-2.225,,,
4/7/2016,2.15,,,
4/8/2016,-2.25,,,
4/9/2016,-4.325,,,
4/10/2016,-3.6,,,
4/11/2016,4.775,,,
4/12/2016,0.775,,,
4/13/2016,0.6825,,,
4/14/2016,2.65,,,
4/15/2016,5.55,,,
4/16/2016,7.675,,,
