,Date,Temperature,Mean Temp (°C),Max Temp (°C),Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
0,2016-01-01,-3.4325,-0.7,0.9,-2.3,,,0.4,
1,2016-01-02,-2.665,0.1,2.3,-2.1,,,0.0,
2,2016-01-03,-2.1775,-3.1,2.7,-8.9,,,0.0,
3,2016-01-04,-14.0825,-12.1,-8.9,-15.2,,,0.2,
4,2016-01-05,-11.2875,-8.4,-0.9,-15.9,,,0.0,
5,2016-01-06,-5.9925,-1.1,3.6,-5.8,,,0.0,
6,2016-01-07,-4.07,-0.4,6.2,-7.0,,,0.0,
7,2016-01-08,-1.2175,-0.5,4.4,-5.4,,,2.2,
8,2016-01-09,2.7775,6.0,10.3,1.7,,,2.5,
9,2016-01-10,2.005,0.6,7.8,-6.6,,,14.5,
10,2016-01-11,-7.49,-7.6,-5.2,-9.9,,,0.6,
11,2016-01-12,-6.1825,-4.8,-0.4,-9.1,,,3.1,
12,2016-01-13,-9.1675,-8.0,-6.4,-9.6,,,2.0,
13,2016-01-14,-6.9625,-3.6,0.2,-7.4,,,0.0,
14,2016-01-15,-0.3775,2.4,4.6,0.2,,,3.0,
15,2016-01-16,-0.6725,0.9,4.2,-2.4,,,0.0,
16,2016-01-17,-6.15,,,-2.5,,,,
17,2016-01-18,-9.81,-8.2,-6.3,-10.0,,,3.9,
18,2016-01-19,-9.435,-9.0,-3.6,-14.4,,,0.0,
19,2016-01-20,-6.15,-5.9,-2.8,-8.9,,,0.0,
20,2016-01-21,-8.175,-4.8,-1.0,-8.6,,,0.0,
21,2016-01-22,-8.8225,-7.6,-2.5,-12.6,,,0.2,
22,2016-01-23,-10.42,-6.8,-2.9,-10.6,,,0.0,
23,2016-01-24,-6.6625,-5.3,0.4,-11.0,,,0.0,
24,2016-01-25,-2.23,2.3,5.7,-1.2,,,0.0,
25,2016-01-26,2.1525,4.2,7.3,1.0,,,0.7,
26,2016-01-27,-1.8275,0.8,2.5,-0.9,,,0.2,
27,2016-01-28,-1.285,0.5,2.7,-1.8,,,1.0,
28,2016-01-29,-5.82,-3.9,0.6,-8.3,,,0.2,
29,2016-01-30,-2.4475,0.3,7.5,-7.0,,,0.0,
30,2016-01-31,3.8675,7.2,12.2,2.1,,,3.3,
31,2016-02-01,2.7575,4.8,10.5,-0.9,,,0.0,
32,2016-02-02,-0.645,0.2,3.9,-3.6,,,8.4,
33,2016-02-03,5.505,9.3,16.2,2.4,,,7.9,
34,2016-02-04,0.125,1.9,4.8,-1.1,,,1.6,
35,2016-02-05,-2.09,0.9,3.3,-1.6,,,0.3,
36,2016-02-06,-0.97,2.4,5.4,-0.6,,,0.0,
37,2016-02-07,-0.3175,2.5,8.1,-3.1,,,0.0,
38,2016-02-08,1.11,4.2,6.9,1.4,,,6.7,
39,2016-02-09,-0.685,1.1,3.3,-1.1,,,1.7,
40,2016-02-10,-4.775,-6.0,-1.0,-10.9,,,2.4,
41,2016-02-11,-12.7775,-11.5,-8.3,-14.6,,,0.2,
42,2016-02-12,-8.975,-7.7,-3.5,-11.8,,,0.0,
43,2016-02-13,-18.875,-16.9,-11.8,-21.9,,,0.2,
44,2016-02-14,-19.1375,-16.5,-9.4,-23.6,,,0.0,
45,2016-02-15,-8.765,-7.6,0.3,-15.4,,,0.0,
46,2016-02-16,-3.905,0.3,1.8,-1.2,,,6.7,
47,2016-02-17,-5.6225,-4.8,0.5,-10.0,,,0.7,
48,2016-02-18,-12.335,-10.2,-2.8,-17.6,,,0.2,
49,2016-02-19,-1.59,1.0,11.7,-9.8,,,0.5,
50,2016-02-20,4.9325,8.2,13.8,2.6,,,0.4,
51,2016-02-21,0.9725,2.8,7.7,-2.1,,,0.0,
52,2016-02-22,-3.6125,-1.4,0.8,-3.6,,,0.0,
53,2016-02-23,-2.3575,-1.9,0.5,-4.2,,,0.0,
54,2016-02-24,-0.9275,1.5,2.9,0.1,,,35.2,
55,2016-02-25,-1.3925,-0.6,2.6,-3.8,,,4.4,
56,2016-02-26,-9.1375,-5.1,-1.2,-9.0,,,0.2,
57,2016-02-27,-2.6625,0.5,6.4,-5.4,,,0.0,
58,2016-02-28,4.08,10.4,16.6,4.1,,,0.0,
59,2016-02-29,1.2575,2.8,11.4,-5.8,,,3.8,
60,2016-03-01,-7.4875,-6.2,-3.2,-9.2,,,16.3,
61,2016-03-02,-9.6725,-5.8,-2.8,-8.7,,,0.4,
62,2016-03-03,-10.295,-4.8,-1.9,-7.6,,,0.0,
63,2016-03-04,-7.545,-2.4,0.7,-5.5,,,0.0,
64,2016-03-05,-7.74,-2.8,0.9,-6.5,,,1.2,
65,2016-03-06,-6.5675,-2.8,3.6,-9.1,,,0.2,
66,2016-03-07,3.095,8.0,13.8,2.1,,,0.0,
67,2016-03-08,5.4775,6.8,10.1,3.5,,,0.0,
68,2016-03-09,13.4475,12.2,20.3,4.1,,,0.0,
69,2016-03-10,8.885,11.1,16.1,6.0,,,5.0,
70,2016-03-11,3.695,5.5,10.6,0.3,,,0.0,
71,2016-03-12,6.2975,7.7,17.2,-1.8,,,0.2,
72,2016-03-13,5.0975,6.1,8.6,3.6,,,1.6,
73,2016-03-14,5.7125,7.1,10.6,3.6,,,12.3,
74,2016-03-15,7.275,7.6,9.6,5.5,,,7.0,
75,2016-03-16,4.525,10.3,15.7,4.9,,,4.9,
76,2016-03-17,5.225,9.3,13.3,5.3,,,0.3,
77,2016-03-18,1.1175,3.2,8.6,-2.3,,,0.0,
78,2016-03-19,-2.725,-2.3,0.6,-5.2,,,0.2,
79,2016-03-20,-1.825,-1.5,2.5,-5.5,,,0.0,
80,2016-03-21,-0.965,0.8,5.3,-3.8,,,0.0,
81,2016-03-22,0.3,1.5,8.1,-5.2,,,1.6,
82,2016-03-23,1.6075,2.5,4.3,0.6,,,16.0,
83,2016-03-24,-1.075,1.4,2.3,0.4,,,30.4,
84,2016-03-25,-1.45,-0.1,3.0,-3.1,,,0.6,
85,2016-03-26,-0.7,0.5,4.7,-3.8,,,0.0,
86,2016-03-27,2.8,2.5,7.3,-2.4,,,0.0,
87,2016-03-28,5.65,6.2,10.2,2.2,,,12.9,
88,2016-03-29,1.08575,4.0,9.1,-1.1,,,0.0,
89,2016-03-30,4.275,7.8,17.0,-1.5,,,0.0,
90,2016-03-31,12.1325,14.0,17.3,10.7,,,34.4,
91,2016-04-01,7.275,8.2,13.8,2.6,,,0.0,
92,2016-04-02,0.7,1.0,5.1,-3.2,,,5.8,
93,2016-04-03,-4.8225,,,,,,,
94,2016-04-04,-6.6,-4.4,-0.7,-8.0,,,1.8,
95,2016-04-05,-7.475,-5.1,1.3,-11.5,,,0.3,
96,2016-04-06,-2.225,2.3,9.5,-5.0,,,8.8,
97,2016-04-07,2.15,4.5,9.5,-0.6,,,2.1,
98,2016-04-08,-2.25,1.5,5.9,-2.9,,,0.0,
99,2016-04-09,-4.325,-2.1,2.1,-6.2,,,0.0,
100,2016-04-10,-3.6,-3.5,0.6,-7.5,,,12.4,
101,2016-04-11,4.775,6.0,11.6,0.4,,,4.0,
102,2016-04-12,0.775,2.0,7.3,-3.4,,,0.0,
103,2016-04-13,0.6825,0.9,6.1,-4.3,,,0.2,
104,2016-04-14,2.65,3.1,8.6,-2.4,,,0.0,
105,2016-04-15,5.55,5.7,8.9,2.4,,,0.0,
106,2016-04-16,7.675,7.1,13.2,0.9,,,0.0,
107,2016-04-17,10.7,10.3,19.5,1.1,,,0.0,
108,2016-04-18,14.1,15.7,26.3,5.1,,,0.0,
109,2016-04-19,8.625,11.3,17.2,5.4,,,0.0,
110,2016-04-20,7.425,6.4,11.1,1.6,,,0.0,
111,2016-04-21,9.675,9.7,16.4,3.0,,,0.0,
112,2016-04-22,12.35,13.6,21.4,5.8,,,0.5,
113,2016-04-23,5.1,,,3.7,,,,
114,2016-04-24,5.35,5.1,9.9,0.2,,,0.0,
115,2016-04-25,4.8,6.5,7.4,5.6,,,0.2,
116,2016-04-26,2.95,,4.9,,,,,
117,2016-04-27,4.45,6.2,14.7,-2.3,,,0.2,
118,2016-04-28,3.925,4.4,7.6,1.1,,,0.0,
