,Unnamed: 0,Date,Temperature,Mean Temp (°C),Max Temp (°C),Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
0,0,2016-01-01,-3.4325,-1.1300000000000001,0.6,-2.8299999999999996,0.0,0.5,0.35555555555555557,0.75
1,1,2016-01-02,-2.665,-0.37,1.9100000000000001,-2.63,0.0,0.0,0.022222222222222223,0.2
2,2,2016-01-03,-2.1775,-2.8,2.29,-7.859999999999999,0.0,0.0,0.022222222222222223,0.4
3,3,2016-01-04,-14.0825,-11.469999999999999,-9.05,-13.86,0.0,0.0,0.08888888888888889,0.5
4,4,2016-01-05,-11.2875,-8.07777777777778,-1.788888888888889,-14.229999999999999,0.0,0.0,0.025,0.2
5,5,2016-01-06,-5.9925,-1.33,3.1,-5.739999999999999,0.0,0.0,0.03333333333333333,0.2
6,6,2016-01-07,-4.07,-2.3,6.0,-10.5,0.0,0.0,0.0,0.0
7,7,2016-01-08,-1.2175,-2.0,5.0,-9.0,5.3,0.0,5.3,2.0
8,8,2016-01-09,2.7775,5.8500000000000005,9.03,2.63,6.425,0.0,4.077777777777778,0.0
9,9,2016-01-10,2.005,1.7222222222222223,7.866666666666666,-4.477777777777778,11.975,0.8250000000000001,14.662500000000001,0.0
10,10,2016-01-11,-7.49,-7.5,-6.0,-9.0,0.0,4.0,4.0,1.0
11,11,2016-01-12,-6.1825,-6.8,-2.0,-11.5,0.0,2.0,2.0,5.0
12,12,2016-01-13,-9.1675,-8.8,-6.5,-11.0,0.0,0.0,0.0,7.0
13,13,2016-01-14,-6.9625,-4.209999999999999,-0.8,-7.580000000000001,0.0,0.15000000000000002,0.14444444444444446,6.285714285714286
14,14,2016-01-15,-0.3775,1.2599999999999998,5.050000000000001,-2.55,2.475,0.0,1.9444444444444444,4.285714285714286
15,15,2016-01-16,-0.6725,0.5444444444444445,3.4777777777777783,-1.9700000000000002,0.2,0.0,0.42499999999999993,1.25
16,16,2016-01-17,-6.15,-4.671428571428571,-0.34285714285714286,-6.909999999999999,0.0,0.5,0.42857142857142866,0.6
17,17,2016-01-18,-9.81,-6.5,-1.0,-12.0,0.0,0.0,0.0,0.0
18,18,2016-01-19,-9.435,-11.3,-4.0,-18.5,0.0,0.0,0.0,3.0
19,19,2016-01-20,-6.15,-5.0,-4.0,-6.0,0.0,1.0,1.0,3.0
20,20,2016-01-21,-8.175,-8.0,-3.5,-12.5,0.0,0.0,0.0,4.0
21,21,2016-01-22,-8.8225,-9.5,-2.0,-17.0,0.0,0.0,0.0,4.0
22,22,2016-01-23,-10.42,-6.44,-3.1,-9.7,0.0,0.0,0.07777777777777778,2.3333333333333335
23,23,2016-01-24,-6.6625,-5.209999999999999,0.10999999999999999,-10.5,0.0,0.0,0.0,1.8571428571428572
24,24,2016-01-25,-2.23,-1.3,5.0,-7.5,0.0,0.0,0.0,4.0
25,25,2016-01-26,2.1525,1.8,6.5,-3.0,0.0,1.0,1.0,1.0
26,26,2016-01-27,-1.8275,-1.0,1.5,-3.5,0.0,0.0,0.0,1.0
27,27,2016-01-28,-1.285,-0.5,1.0,-2.0,0.0,4.0,4.0,0.0
28,28,2016-01-29,-5.82,-1.5,6.0,-9.0,0.0,0.0,0.0,4.0
29,29,2016-01-30,-2.4475,-0.18000000000000002,6.94,-7.290000000000001,0.0,0.0,0.0,0.6
30,30,2016-01-31,3.8675,6.6899999999999995,11.159999999999998,2.17,4.275,0.0,3.0500000000000003,0.0
31,31,2016-02-01,2.7575,3.3,6.5,0.0,0.0,0.0,0.0,0.0
32,32,2016-02-02,-0.645,-1.0,4.5,-6.5,9.7,0.0,9.7,0.0
33,33,2016-02-03,5.505,8.400000000000002,15.05,1.7,3.25,0.0,5.362499999999999,0.0
34,34,2016-02-04,0.125,2.0,4.0,0.0,0.0,0.0,0.0,0.0
35,35,2016-02-05,-2.09,-0.5,3.0,-4.0,0.0,0.0,0.0,0.0
36,36,2016-02-06,-0.97,2.0000000000000004,4.619999999999999,-0.64,0.0,0.0,0.0,0.0
37,37,2016-02-07,-0.3175,2.8600000000000003,7.2299999999999995,-1.55,0.0,0.0,0.0,0.0
38,38,2016-02-08,1.11,2.0,6.0,-2.0,0.0,3.0,3.0,0.0
39,39,2016-02-09,-0.685,-1.3,1.0,-3.5,0.0,0.0,0.0,3.0
40,40,2016-02-10,-4.775,-4.5,-2.5,-6.5,0.0,0.0,0.0,3.0
41,41,2016-02-11,-12.7775,-12.3,-9.0,-15.5,0.0,0.0,0.0,2.0
42,42,2016-02-12,-8.975,-8.8,-3.5,-14.0,0.0,0.0,0.0,2.0
43,43,2016-02-13,-18.875,-17.509999999999998,-12.709999999999999,-22.270000000000003,0.0,0.3,0.16666666666666666,3.6666666666666665
44,44,2016-02-14,-19.1375,-15.7,-9.46,-21.9,0.0,0.0,0.1111111111111111,3.4285714285714284
45,45,2016-02-15,-8.765,-7.17,-0.42000000000000004,-13.88,0.25,2.0999999999999996,1.2625,2.142857142857143
46,46,2016-02-16,-3.905,-5.5,1.0,-12.0,0.0,2.0,2.0,6.0
47,47,2016-02-17,-5.6225,-1.8,0.0,-3.5,0.0,0.0,0.0,8.0
48,48,2016-02-18,-12.335,-10.8,-2.0,-19.5,0.0,0.0,0.0,7.0
49,49,2016-02-19,-1.59,1.35,9.73,-7.07,0.9333333333333332,0.0,1.3,10.0
50,50,2016-02-20,4.9325,7.56,12.34,2.71,0.0,0.0,0.05,1.0
51,51,2016-02-21,0.9725,3.03,6.790000000000001,-0.77,0.0,0.0,0.0,0.0
52,52,2016-02-22,-3.6125,-1.0,2.5,-4.5,0.0,0.0,0.0,0.0
53,53,2016-02-23,-2.3575,-3.8,2.5,-10.0,0.5,0.0,0.5,0.0
54,54,2016-02-24,-0.9275,-1.5,2.0,-5.0,19.6,1.0,20.6,4.0
55,55,2016-02-25,-1.3925,-1.0,0.0,-2.0,0.0,0.0,0.0,5.0
56,56,2016-02-26,-9.1375,-6.5,-2.0,-11.0,0.0,0.0,0.0,5.0
57,57,2016-02-27,-2.6625,0.14999999999999997,5.7299999999999995,-5.46,0.0,0.0,0.0,1.2
58,58,2016-02-28,4.08,8.790000000000001,14.55,2.98,2.25,0.0,1.125,0.0
59,59,2016-02-29,1.2575,1.5,6.0,-3.0,0.0,0.0,0.0,0.0
60,60,2016-03-01,-7.4875,-8.3,-7.0,-9.5,0.0,3.0,3.0,0.0
61,61,2016-03-02,-9.6725,-6.5,-2.0,-11.0,3.6,0.0,3.6,14.0
62,62,2016-03-03,-10.295,-5.5,-2.5,-8.5,0.0,0.0,0.0,0.0
63,63,2016-03-04,-7.545,-4.5,1.5,-10.5,0.0,0.0,0.0,10.0
64,64,2016-03-05,-7.74,-1.8699999999999999,0.71,-4.380000000000001,0.0,0.3,0.375,5.571428571428571
65,65,2016-03-06,-6.5675,-1.5699999999999998,3.4500000000000006,-6.539999999999999,0.0,0.0,0.025,0.0
66,66,2016-03-07,3.095,6.74,12.26,1.15,0.0,0.0,0.0,3.2
67,67,2016-03-08,5.4775,0.5,14.5,-13.5,0.0,0.0,0.0,0.0
68,68,2016-03-09,13.4475,11.5,21.0,2.0,3.4,0.0,3.4,0.0
69,69,2016-03-10,8.885,9.8,11.0,8.5,1.3,0.0,1.3,0.0
70,70,2016-03-11,3.695,4.86,8.419999999999998,1.2600000000000002,0.0,0.0,0.022222222222222223,0.0
71,71,2016-03-12,6.2975,7.06,15.180000000000001,-1.08,0.0,0.0,0.044444444444444446,0.0
72,72,2016-03-13,5.0975,5.830000000000001,8.1,3.5200000000000005,6.325,0.0,3.575,0.0
73,73,2016-03-14,5.7125,5.5,9.0,2.0,8.8,0.0,8.8,0.0
74,74,2016-03-15,7.275,6.8,8.5,5.0,3.0,0.0,3.0,0.0
75,75,2016-03-16,4.525,3.5,8.0,-1.0,0.0,0.0,0.0,0.0
76,76,2016-03-17,5.225,8.170000000000002,12.040000000000001,4.26,1.6,0.0,1.1111111111111112,0.0
77,77,2016-03-18,1.1175,3.5,8.0,-1.0,0.0,0.0,0.0,0.0
78,78,2016-03-19,-2.725,-1.5399999999999998,0.95,-3.960000000000001,0.0,0.0,0.044444444444444446,0.3333333333333333
79,79,2016-03-20,-1.825,-1.14,2.0300000000000002,-4.26,0.0,0.0,0.0,0.3333333333333333
80,80,2016-03-21,-0.965,-2.0,4.0,-8.0,0.0,0.0,0.0,0.0
81,81,2016-03-22,0.3,-0.3,7.0,-7.5,3.6,0.0,3.6,0.0
82,82,2016-03-23,1.6075,3.3,4.5,2.0,3.2,2.0,5.2,0.0
83,83,2016-03-24,-1.075,-0.5,1.0,-2.0,30.8,0.0,30.8,2.0
84,84,2016-03-25,-1.45,0.74,2.99,-1.5099999999999998,0.0,0.0,1.8111111111111111,0.3333333333333333
85,85,2016-03-26,-0.7,0.9799999999999999,4.32,-2.42,0.0,0.0,0.0,0.0
86,86,2016-03-27,2.8,4.64,10.02,-0.82,3.9,0.0,1.7333333333333334,0.0
87,87,2016-03-28,5.65,6.3,10.0,2.5,1.0,0.0,1.0,0.0
88,88,2016-03-29,1.08575,2.0,8.0,-4.0,0.0,0.0,0.0,0.0
89,89,2016-03-30,4.275,6.68,14.040000000000001,-0.73,3.05,0.0,1.3888888888888888,0.0
90,90,2016-03-31,12.1325,12.27,16.03,8.48,22.25,0.0,23.066666666666666,0.0
91,91,2016-04-01,7.275,7.0,8.5,5.5,0.0,0.0,0.0,0.0
92,92,2016-04-02,0.7,1.65,5.369999999999999,-2.12,0.0,3.9000000000000004,4.111111111111111,0.5
93,93,2016-04-03,-4.8225,-4.0200000000000005,-1.16,-6.88,0.0,9.9,8.4,3.0
94,94,2016-04-04,-6.6,-3.8,-0.5,-7.0,0.0,0.0,0.0,11.0
95,95,2016-04-05,-7.475,-3.8,7.0,-14.5,0.0,0.0,0.0,6.0
96,96,2016-04-06,-2.225,2.73,8.43,-3.02,8.825,1.525,7.7666666666666675,5.25
97,97,2016-04-07,2.15,4.29,8.639999999999999,-0.1,0.9,0.05,0.8555555555555555,0.25
98,98,2016-04-08,-2.25,0.3,5.0,-4.5,0.0,0.0,0.0,0.0
99,99,2016-04-09,-4.325,-2.1,0.8000000000000002,-4.94,0.0,0.0,0.0,0.0
