,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
6054,GRIMSBY MOUNTAIN,ONTARIO,6133055,44123,,,43.18,-79.56,431101044.0,-793330042.0,170.6,2005,2023,,,2005.0,2023.0,2005.0,2006.0
6099,PORT WELLER (AUT),ONTARIO,6136699,7790,71432.0,WWZ,43.25,-79.22,431500000.0,-791300000.0,79.0,1992,2023,1993.0,2023.0,1992.0,2023.0,2003.0,2006.0
6140,VINELAND STATION RCS,ONTARIO,6139148,31367,71171.0,XVN,43.18,-79.4,431100000.0,-792400000.0,79.2,2002,2023,2002.0,2023.0,2002.0,2023.0,2003.0,2006.0
6345,BURLINGTON PIERS (AUT),ONTARIO,6151061,7868,71437.0,WWB,43.3,-79.8,431800000.0,-794800000.0,77.4,1992,2023,1994.0,2023.0,1992.0,2023.0,,
6388,GEORGETOWN WWTP,ONTARIO,6152695,4923,,,43.64,-79.88,433824018.0,-795245018.0,221.0,1962,2023,,,1962.0,2023.0,1962.0,2006.0
6398,HAMILTON A,ONTARIO,6153193,49908,71263.0,YHM,43.17,-79.94,431025000.0,-795606000.0,237.7,2011,2023,2011.0,2023.0,2011.0,2023.0,,
6405,HAMILTON RBG CS,ONTARIO,6153301,27529,71297.0,XHM,43.29,-79.91,431730000.0,-795430000.0,102.0,1997,2023,2000.0,2023.0,1997.0,2023.0,1997.0,2006.0
6462,OAKVILLE TWN,ONTARIO,6155750,45667,,,43.51,-79.69,433045000.0,-794124000.0,168.0,2007,2023,,,2007.0,2023.0,,
6568,TORONTO CITY,ONTARIO,6158355,31688,71508.0,XTO,43.67,-79.4,434000000.0,-792400000.0,112.5,2002,2023,2002.0,2023.0,2002.0,2023.0,2003.0,2006.0
6569,TORONTO CITY CENTRE,ONTARIO,6158359,48549,71265.0,YTZ,43.63,-79.4,433739000.0,-792346000.0,76.8,2009,2023,2009.0,2023.0,2010.0,2023.0,,
6618,TORONTO INTL A,ONTARIO,6158731,51459,71624.0,YYZ,43.68,-79.63,434036000.0,-793750000.0,173.4,2013,2023,2013.0,2023.0,2013.0,2023.0,,
